"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahrain","BHR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1814.96372573264","3306.42574575003","5609.49131111819","5937.68208429289","5392.49029425415","3561.99395367024","3402.71017214253","3334.2168154109","4309.99273427659","3885.00065477539","4881.76687294703","6556.00064343753","6220.82197437495","6512.3495930714","7065.26683527721","7587.39608797619","7460.326512414","7434.52558044937","7640.57833100048","7301.97630942282","9334.79785137148","9028.74345925023","9098.9471393204","10064.1061861442","11130.9809289916","12416.2549471016","13386.5735692904","15078.3262092586","15673.1515415222","13079.3409699808","13748.4849266318","12478.9442265519","16308.4199141192","16722.0646845051","17072.4204440925","17283.1928785373","17997.0023699092","18506.408973567","17987.3075746763","17700.8513469708","15426.8113868086","",
"Bahamas, The","BHS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","5403.89099145729","5531.27655918373","6140.3747808631","6623.86992158866","7681.16635422964","8615.43445918006","8978.32817337461","9795.90158880234","10074.7218641266","10991.5864907165","10959.0324204709","10597.4169275154","10739.4710331243","10266.9101507019","10545.6245989654","13098.7690012456","14905.9792943165","20277.4887511614","21538.1968341363","24096.8771997837","24838.5310942978","25044.7759221196","26396.2789730122","25951.4631630382","25977.3654485987","27717.5786829533","27900.6259213611","28655.5202186213","28276.303538175","26078.3752860412","25765.2083755945","25448.9227799979","26734.0702621974","25735.2340383809","26579.4266441821","27525.3874933191","27545.2936180121","28552.7925416962","28783.6944260765","30039.5906399717","22405.7083570673","",
"Bosnia and Herzegovina","BIH","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236.858530374617","377.639460868743","644.18971426932","852.767747927635","1233.68586346496","1343.44797298037","1487.80009255764","1525.75652760181","1729.53636880887","2126.69306803318","2643.59382114737","2783.28710456342","3155.02485511584","3773.79450519574","4653.37918700911","4274.68819803289","4050.75944318115","4340.13907564598","3988.93528160552","4321.68707824032","4413.99543839274","3922.01231599347","4155.02280832883","4487.49736687738","5054.25958256028","5128.75197137351","5059.71839314317","",
"Belarus","BLR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1514.62483212256","1134.01919258814","1242.17867903648","1185.08321231285","1300.64020290781","1033.23733002697","1091.22500779089","1070.64990060481","1277.1718306981","1577.05377569641","2047.2457453362","2703.87311974495","3306.63730394952","4041.43812860496","5407.22933547859","4526.23750037219","5069.67855622978","5513.84151779982","5794.53268798146","6562.38645943631","6920.66425253069","4890.56424448974","4111.14604241735","4752.09348483226","5205.11909106945","5629.65630327233","5148.21397806727","",
"Belize","BLZ","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1265.41882310499","1219.74358279348","1062.80448358264","1094.21126941343","1183.72718144455","1127.83322620939","1230.17768577983","1455.26090872067","1621.57935013937","1819.36109793918","1999.42416584024","2109.49271722752","2411.95117432741","2553.32068311195","2599.6757223112","2715.95751877156","2723.95394552092","2697.50648764527","2710.55557485841","2716.556684897","2651.73264324128","2633.02335063591","2740.98945450804","2772.91150140297","2812.13383674001","2893.60742499947","2990.6843597471","2914.74796927409","2913.08967414331","3088.14415788721","2941.09438233607","3112.9253019053","3224.84253005169","3352.54999175602","3483.64019175586","3740.37891423727","3770.36854063122","3797.485197259","3769.53619563997","3832.4482324882","3219.14587006219","",
"Bermuda","BMU","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","480.692322103751","543.202480828682","605.244655418408","665.822961390872","634.774760696008","847.624527434845","784.955276124013","752.088554297692","853.632712632674","736.310292485104","530.976621337113","575.524024868598","590.093062371758","589.038994559982","601.03376058783","664.198705661135","696.279540734797","695.077177086876","708.202398031176","780.207217369378","848.15177983327","893.989545512899","951.615096456472","888.814501422176","862.409972595319","826.200280551462","785.444333648792","772.640812412557","787.514097406518","818.214224167951","945.35130785128","1062.93517832098","1390.73803443249","1463.86519086394","1593.25724775309","1864.29955455578","2024.53786141157","2263.24713359181","2463.91987235438","2577.80044622995","2650.51412178333","2802.68131815901","2960.41447564286","3012.22033818514","2528.90659313876","",
"Brazil","BRA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","398.892835820535","454.335963318623","527.041083007639","687.857872017501","886.767032013092","1011.04115703252","1215.94729357594","1376.02366554346","1518.40029267252","1650.85359310745","1646.31199764906","1800.59408598959","1855.36057940753","1296.26524584254","1307.56408297166","1348.37358313492","1614.66767007763","1756.66959179953","1941.8286211962","2214.19909155648","2230.82419860376","1947.93196326016","1854.66839222784","2033.16454136048","2875.19405442987","4190.22629993284","4507.49587451744","4576.30743255362","4353.73500901165","2932.93807495292","3211.84799578654","2698.14139368151","2414.53704360174","2614.27851270313","3072.71789054776","4042.39881060205","4992.89587179345","6264.12040428349","7415.49401443091","7406.39478750726","9508.79064191117","11194.1125387827","10492.3900516446","10619.9935311058","10406.1996408983","7644.08741649256","7557.12507482427","8574.1577435723","7762.47328248356","7595.37386105106","5758.39011671321","",
"Barbados","BRB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5355.5385291521","5867.94412662977","6236.24358033749","6947.19592554268","6852.33374084535","6891.6277222884","6706.22693902393","7014.84448722662","7278.41052802452","7335.8274896129","7762.67847981816","8203.35368013632","9248.73948331811","9572.75702057644","9863.3204547882","9769.02243719128","9871.15202451879","10097.2912284795","10796.1624945965","11841.3433700058","12725.4707631318","14334.3583266655","14417.0661484715","13614.0330906025","13975.7772098777","13611.9327036224","13873.9081699554","14041.8017967316","14071.7984727464","14075.0787692717","14359.7925807738","14802.8326968965","15095.5902874686","15643.454660112","13004.095750789","",
"Brunei Darussalam","BRN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8928.00330872996","9446.72495496958","10871.1984613535","11983.0003505082","11427.6991238409","11127.9244917983","12466.6792320741","12970.2580263935","12985.5559330944","10409.3878766039","10937.6053756123","12540.2952282046","12116.3285171908","12921.8489115483","13934.5306330404","15783.1479492758","17786.3231008567","20517.9035385754","23807.4283870314","27252.2653116088","21427.3434366062","26425.8917130256","31776.5128134787","33584.2124126247","33604.1778969076","32383.388078423","26342.8083892084","24273.9839586842","24382.7167764871","23568.6311077956","24463.6460987408","22332.2963406578","",
